Date	Registration	Turnout	% Turnout	Precinct	Mail Ballot	% Reg Vtrs Rtnd Mail Ballot	% Turnout Voted Mail Ballot 
3/5/2002	"440,016"	"150,249"	34.15%	"98,669"	"51,580"	11.72%	34.33%
12/10/2001	"453,961"	"75,267"	16.58%	"44,294"	"30,973"	6.82%	41.15%
11/6/2001	"452,543"	"134,024"	29.62%	"96,876"	"37,148"	8.21%	27.72%
12/12/2000	"398,234"	"129,629"	32.55%	"81,670"	"47,959"	12.04%	37.00%
11/7/2000	"486,636"	"324,031"	66.59%	"241,234"	"82,797"	17.01%	25.55%
3/7/2000	"468,198"	"210,229"	44.90%	"155,955"	"54,274"	11.59%	25.82%
12/14/1999	"467,295"	"228,247"	48.84%	"154,357"	"73,890"	15.81%	32.37%
11/2/1999	"453,151"	"203,674"	44.95%	"151,447"	"52,227"	11.53%	25.64%
11/3/1998	"448,888"	"250,719"	55.85%	"183,839"	"66,880"	14.90%	26.68%
6/2/1998	"430,794"	"199,157"	46.23%	"137,812"	"61,345"	14.24%	30.80%
11/4/1997	"413,355"	"125,697"	30.41%	"87,352"	"38,345"	9.28%	30.51%
6/3/1997	"411,230"	"178,948"	43.52%	"129,156"	"49,792"	12.11%	27.82%
11/5/1996	"481,902"	"298,648"	61.97%	"223,339"	"75,309"	15.63%	25.22%
3/26/1996	"440,254"	"178,165"	40.47%	"126,643"	"51,522"	11.70%	28.92%
12/12/1995	"425,969"	"198,326"	46.56%	"130,573"	"67,753"	15.91%	34.16%
11/7/1995	"417,883"	"216,735"	51.86%	"152,017"	"64,718"	15.49%	29.86%
11/8/1994	"450,649"	"249,669"	55.40%	"175,502"	"74,167"	16.46%	29.71%
6/7/1994	"422,776"	"135,495"	32.05%	"98,564"	"36,931"	8.74%	27.26%
11/2/1993	"425,034"	"158,146"	37.21%	"113,377"	"44,769"	10.53%	28.31%
6/15/1993	"421,635"	"84,786"	20.11%	"50,131"	"34,655"	8.22%	40.87%
11/3/1992	"477,726"	"329,695"	69.01%	"255,071"	"74,624"	15.62%	22.63%
6/2/1992	"432,838"	"182,577"	42.18%	"143,468"	"39,109"	9.04%	21.42%
12/10/1991	"425,316"	"215,751"	50.73%	"143,839"	"71,912"	16.91%	33.33%
11/5/1991	"421,919"	"200,875"	47.61%	"156,090"	"44,785"	10.61%	22.29%
11/6/1990	"409,163"	"236,413"	57.78%	"181,425"	"54,988"	13.44%	23.26%
6/5/1990	"389,552"	"161,989"	41.58%	"122,026"	"39,963"	10.26%	24.67%
11/7/1989	"405,536"	"181,862"	44.84%	"144,657"	"37,205"	9.17%	20.46%
11/8/1988	"435,536"	"292,097"	67.07%	"208,546"	"83,551"	19.18%	28.60%
6/7/1988	"383,675"	"185,420"	48.33%	"156,474"	"28,946"	7.54%	15.61%
12/8/1987	"380,852"	"153,720"	40.36%	"113,400"	"40,320"	10.59%	26.23%
11/3/1987	"378,546"	"193,742"	51.18%	"156,480"	"37,262"	9.84%	19.23%
6/2/1987	"363,356"	"93,010"	25.60%	"57,889"	"35,121"	9.67%	37.76%
4/7/1987	"280,811"	"111,523"	39.71%	"80,547"	"30,976"	11.03%	27.78%
11/4/1986	"385,847"	"236,863"	61.39%	"202,055"	"34,808"	9.02%	14.70%
6/3/1986	"369,468"	"146,480"	39.65%	"125,143"	"21,337"	5.78%	14.57%
11/5/1985	"399,422"	"107,920"	27.02%	"84,547"	"23,373"	5.85%	21.66%
11/6/1984	"424,091"	"298,517"	70.39%	"253,931"	"44,586"	10.51%	14.94%
6/5/1984	"375,799"	"180,741"	48.10%	"151,013"	"29,728"	7.91%	16.45%
11/8/1983	"371,005"	"170,628"	45.99%	"141,198"	"29,430"	7.93%	17.25%
4/26/1983	"354,104"	"167,267"	47.24%	"107,973"	"59,294"	16.74%	35.45%
11/2/1982	"377,069"	"238,991"	63.38%	"211,195"	"27,796"	7.37%	11.63%
6/8/1982	"344,483"	"176,381"	51.20%	"156,646"	"19,735"	5.73%	11.19%
11/3/1981	"395,213"	"99,658"	25.22%	"88,783"	"10,875"	2.75%	10.91%
11/4/1980	"407,982"	"268,070"	65.71%	"237,013"	"31,057"	7.61%	11.59%
8/19/1980	"404,035"	"140,551"	34.79%	"119,566"	"20,985"	5.19%	14.93%
6/3/1980	"403,382"	"206,366"	51.16%	"191,196"	"15,170"	3.76%	7.35%
12/11/1979	"378,232"	"196,341"	51.91%	"178,347"	"17,994"	4.76%	9.16%
11/6/1979	"372,061"	"204,869"	55.06%	"190,396"	"14,473"	3.89%	7.06%
11/7/1978	"380,749"	"217,965"	57.25%	"197,263"	"20,702"	5.44%	9.50%
6/6/1978	"350,856"	"203,931"	58.12%	"185,959"	"17,972"	5.12%	8.81%
11/8/1977	"339,306"	"175,582"	51.75%	"162,209"	"13,373"	3.94%	7.62%
8/2/1977	"336,046"	"178,367"	53.08%	"161,622"	"16,745"	4.98%	9.39%
11/2/1976	"345,954"	"252,932"	73.11%	"231,144"	"21,788"	6.30%	8.61%
6/8/1976	"311,254"	"208,884"	67.11%	"191,684"	"17,200"	5.53%	8.23%
12/11/1975	"302,344"	"200,804"	66.42%	"190,741"	"10,063"	3.33%	5.01%
11/4/1975	"296,505"	"215,559"	72.70%	"206,167"	"9,392"	3.17%	4.36%
11/5/1974	"369,005"	"228,586"	61.95%	"213,114"	"15,472"	4.19%	6.77%
6/4/1974	"350,380"	"198,508"	56.66%	"184,369"	"14,139"	4.04%	7.12%
11/6/1973	"337,065"	"202,237"	60.00%	"190,080"	"12,157"	3.61%	6.01%
11/7/1972	"426,338"	"316,803"	74.31%	"289,010"	"27,793"	6.52%	8.77%
6/6/1972	"368,357"	"234,840"	63.75%	"218,176"	"16,664"	4.52%	7.10%
11/5/1968	"374,335"	"307,012"	82.02%	"287,514"	"19,498"	5.21%	6.35%
11/3/1964	"389,990"	"331,612"	85.03%	"313,134"	"18,478"	4.74%	5.57%
11/8/1960	"404,613"	"348,290"	86.08%	  n/a	   n/a	n/a	n/a
11/6/1956	"397,385"	"342,652"	86.23%	  n/a	   n/a	n/a	n/a
11/2/1954	"401,900"	"277,602"	69.07%	  n/a	   n/a	n/a	n/a
11/4/1952	"431,959"	"365,972"	84.72%	  n/a	   n/a	n/a	n/a
11/7/1950	"429,864"	"312,137"	72.61%	  n/a	   n/a	n/a	n/a
11/2/1948	"459,769"	"359,134"	78.11%	  n/a	   n/a	n/a	n/a
11/5/1946	"430,114"	"270,457"	62.88%	  n/a	   n/a	n/a	n/a
11/7/1944	"405,921"	"352,409"	86.82%	  n/a	   n/a	n/a	n/a
11/3/1942	"367,352"	"230,129"	62.65%	  n/a	   n/a	n/a	n/a
11/5/1940	"383,845"	"315,518"	82.20%	  n/a	   n/a	n/a	n/a
11/8/1938	"340,739"	"257,597"	"75,60%"	  n/a	   n/a	n/a	n/a
11/3/1936	"314,990"	"269,387"	85.52%	  n/a	   n/a	n/a	n/a
11/6/1934	"290,683"	"166,133"	57.15%	  n/a	   n/a	n/a	n/a
11/8/1932	"273,487"	"227,283"	83.12%	  n/a	   n/a	n/a	n/a
11/4/1930	"228,582"	"158,629"	69.40%	  n/a	   n/a	n/a	n/a
11/6/1928	"253,043"	"199,665"	78.91%	  n/a	   n/a	n/a	n/a
11/2/1926	"222,799"	"130,835"	58.72%	  n/a	   n/a	n/a	n/a
11/4/1924	"219,434"	"159,649"	72.75%	  n/a	   n/a	n/a	n/a
11/7/1922	"201,563"	"134,503"	66.73%	  n/a	   n/a	n/a	n/a
11/2/1920	"210,024"	"154,592"	73.61%	  n/a	   n/a	n/a	n/a
11/5/1918	"175,109"	"103,011"	58.83%	  n/a	   n/a	n/a	n/a
11/7/1916	"184,819"	"155,747"	84.27%	  n/a	   n/a	n/a	n/a
11/3/1914	"161,846"	"134,492"	83.10%	  n/a	   n/a	n/a	n/a
11/5/1912	"134,688"	"105,646"	78.44%	  n/a	   n/a	n/a	n/a
11/1/1910	  n/a	"59,724"	  n/a	  n/a	   n/a	n/a	n/a
11/3/1908	"75,467"	"41,137"	54.51%	  n/a	   n/a	n/a	n/a
11/6/1906	  n/a	"38,564"	  n/a	  n/a	   n/a	n/a	n/a
10/8/1903	"73,702"	"25,275"	34.29%	  n/a	   n/a	n/a	n/a
9/29/1903	"73,540"	"27,308"	37.13%	  n/a	   n/a	n/a	n/a
12/2/1902	"70,564"	"26,612"	37.61%	  n/a	   n/a	n/a	n/a
12/2/1899	"70,726"	"22,331"	31.57%	  n/a	   n/a	n/a	n/a
