"Original.URL","parliaments.Limit"
"https://data.ipu.org /node/11/elections?chamber_id=13329",100
"https://data.ipu.org /node/12/elections?chamber_id=13330",100
"https://data.ipu.org /node/13/elections?chamber_id=13566",100
"https://data.ipu.org /node/14/elections?chamber_id=13332",100
"https://data.ipu.org /node/15/elections?chamber_id=13333",100
"https://data.ipu.org /node/16/elections?chamber_id=13335",100
"https://data.ipu.org /node/17/elections?chamber_id=13337",100
"https://data.ipu.org /node/18/elections?chamber_id=13339",100
"https://data.ipu.org /node/19/elections?chamber_id=13341",100
"https://data.ipu.org /node/20/elections?chamber_id=13342",100
"https://data.ipu.org /node/21/elections?chamber_id=13344",100
"https://data.ipu.org /node/22/elections?chamber_id=13346",100
"https://data.ipu.org /node/23/elections?chamber_id=13348",100
"https://data.ipu.org /node/24/elections?chamber_id=13349",100
"https://data.ipu.org /node/25/elections?chamber_id=13582",100
"https://data.ipu.org /node/26/elections?chamber_id=13351",100
"https://data.ipu.org /node/27/elections?chamber_id=13352",100
"https://data.ipu.org /node/28/elections?chamber_id=13353",100
"https://data.ipu.org /node/29/elections?chamber_id=13361",100
"https://data.ipu.org /node/30/elections?chamber_id=13356",100
"https://data.ipu.org /node/31/elections?chamber_id=13357",100
"https://data.ipu.org /node/32/elections?chamber_id=13359",100
"https://data.ipu.org /node/33/elections?chamber_id=13499",100
"https://data.ipu.org /node/34/elections?chamber_id=13540",100
"https://data.ipu.org /node/35/elections?chamber_id=13362",100
"https://data.ipu.org /node/36/elections?chamber_id=13364",100
"https://data.ipu.org /node/37/elections?chamber_id=13366",100
"https://data.ipu.org /node/38/elections?chamber_id=13368",100
"https://data.ipu.org /node/39/elections?chamber_id=13369",100
"https://data.ipu.org /node/40/elections?chamber_id=13371",100
"https://data.ipu.org /node/41/elections?chamber_id=13372",100
"https://data.ipu.org /node/42/elections?chamber_id=13374",100
"https://data.ipu.org /node/43/elections?chamber_id=13375",100
"https://data.ipu.org /node/44/elections?chamber_id=13365",100
"https://data.ipu.org /node/45/elections?chamber_id=13507",100
"https://data.ipu.org /node/46/elections?chamber_id=13505",100
"https://data.ipu.org /node/47/elections?chamber_id=13569",100
"https://data.ipu.org /node/48/elections?chamber_id=13376",100
"https://data.ipu.org /node/49/elections?chamber_id=13377",100
"https://data.ipu.org /node/50/elections?chamber_id=13378",100
"https://data.ipu.org /node/51/elections?chamber_id=13503",100
"https://data.ipu.org /node/52/elections?chamber_id=13382",100
"https://data.ipu.org /node/53/elections?chamber_id=13379",100
"https://data.ipu.org /node/54/elections?chamber_id=13380",100
"https://data.ipu.org /node/55/elections?chamber_id=13408",100
"https://data.ipu.org /node/56/elections?chamber_id=13383",100
"https://data.ipu.org /node/57/elections?chamber_id=13386",100
"https://data.ipu.org /node/165/elections?chamber_id=13536",100
"https://data.ipu.org /node/58/elections?chamber_id=13389",100
"https://data.ipu.org /node/59/elections?chamber_id=13394",100
"https://data.ipu.org /node/60/elections?chamber_id=13395",100
"https://data.ipu.org /node/61/elections?chamber_id=13396",100
"https://data.ipu.org /node/62/elections?chamber_id=13398",100
"https://data.ipu.org /node/63/elections?chamber_id=13400",100
"https://data.ipu.org /node/64/elections?chamber_id=13401",100
"https://data.ipu.org /node/65/elections?chamber_id=13316",100
"https://data.ipu.org /node/66/elections?chamber_id=13402",100
"https://data.ipu.org /node/67/elections?chamber_id=13403",100
"https://data.ipu.org /node/68/elections?chamber_id=13404",100
"https://data.ipu.org /node/69/elections?chamber_id=13406",100
"https://data.ipu.org /node/70/elections?chamber_id=13407",100
"https://data.ipu.org /node/71/elections?chamber_id=13410",100
"https://data.ipu.org /node/72/elections?chamber_id=13411",100
"https://data.ipu.org /node/73/elections?chamber_id=13412",100
"https://data.ipu.org /node/74/elections?chamber_id=13414",100
"https://data.ipu.org /node/75/elections?chamber_id=13415",100
"https://data.ipu.org /node/76/elections?chamber_id=13425",100
"https://data.ipu.org /node/77/elections?chamber_id=13418",100
"https://data.ipu.org /node/78/elections?chamber_id=13420",100
"https://data.ipu.org /node/79/elections?chamber_id=13421",100
"https://data.ipu.org /node/80/elections?chamber_id=13422",100
"https://data.ipu.org /node/81/elections?chamber_id=13423",100
"https://data.ipu.org /node/82/elections?chamber_id=13426",100
"https://data.ipu.org /node/83/elections?chamber_id=13427",100
"https://data.ipu.org /node/84/elections?chamber_id=13430",100
"https://data.ipu.org /node/85/elections?chamber_id=13432",100
"https://data.ipu.org /node/86/elections?chamber_id=13434",100
"https://data.ipu.org /node/87/elections?chamber_id=13436",100
"https://data.ipu.org /node/88/elections?chamber_id=13438",100
"https://data.ipu.org /node/89/elections?chamber_id=13441",100
"https://data.ipu.org /node/90/elections?chamber_id=13442",100
"https://data.ipu.org /node/91/elections?chamber_id=13440",100
"https://data.ipu.org /node/92/elections?chamber_id=13502",100
"https://data.ipu.org /node/93/elections?chamber_id=13445",100
"https://data.ipu.org /node/94/elections?chamber_id=13446",100
"https://data.ipu.org /node/95/elections?chamber_id=13443",100
"https://data.ipu.org /node/96/elections?chamber_id=13447",100
"https://data.ipu.org /node/97/elections?chamber_id=13429",100
"https://data.ipu.org /node/98/elections?chamber_id=13449",100
"https://data.ipu.org /node/99/elections?chamber_id=13450",100
"https://data.ipu.org /node/100/elections?chamber_id=13451",100
"https://data.ipu.org /node/101/elections?chamber_id=13452",100
"https://data.ipu.org /node/102/elections?chamber_id=13456",100
"https://data.ipu.org /node/103/elections?chamber_id=13454",100
"https://data.ipu.org /node/104/elections?chamber_id=13457",100
"https://data.ipu.org /node/105/elections?chamber_id=13458",100
"https://data.ipu.org /node/106/elections?chamber_id=13459",100
"https://data.ipu.org /node/107/elections?chamber_id=13416",100
"https://data.ipu.org /node/108/elections?chamber_id=13463",100
"https://data.ipu.org /node/109/elections?chamber_id=13462",100
"https://data.ipu.org /node/110/elections?chamber_id=13464",100
"https://data.ipu.org /node/111/elections?chamber_id=13466",100
"https://data.ipu.org /node/112/elections?chamber_id=13467",100
"https://data.ipu.org /node/113/elections?chamber_id=13468",100
"https://data.ipu.org /node/114/elections?chamber_id=13577",100
"https://data.ipu.org /node/115/elections?chamber_id=13460",100
"https://data.ipu.org /node/116/elections?chamber_id=13469",100
"https://data.ipu.org /node/118/elections?chamber_id=13470",100
"https://data.ipu.org /node/119/elections?chamber_id=13472",100
"https://data.ipu.org /node/120/elections?chamber_id=13473",100
"https://data.ipu.org /node/121/elections?chamber_id=13490",100
"https://data.ipu.org /node/122/elections?chamber_id=13478",100
"https://data.ipu.org /node/123/elections?chamber_id=13475",100
"https://data.ipu.org /node/124/elections?chamber_id=13476",100
"https://data.ipu.org /node/125/elections?chamber_id=13562",100
"https://data.ipu.org /node/171/elections?chamber_id=13391",100
"https://data.ipu.org /node/126/elections?chamber_id=13477",100
"https://data.ipu.org /node/127/elections?chamber_id=13570",100
"https://data.ipu.org /node/128/elections?chamber_id=13482",100
"https://data.ipu.org /node/129/elections?chamber_id=13484",100
"https://data.ipu.org /node/130/elections?chamber_id=13486",100
"https://data.ipu.org /node/131/elections?chamber_id=13487",100
"https://data.ipu.org /node/132/elections?chamber_id=13488",100
"https://data.ipu.org /node/133/elections?chamber_id=13492",100
"https://data.ipu.org /node/134/elections?chamber_id=13493",100
"https://data.ipu.org /node/135/elections?chamber_id=13495",100
"https://data.ipu.org /node/136/elections?chamber_id=13497",100
"https://data.ipu.org /node/137/elections?chamber_id=13576",100
"https://data.ipu.org /node/138/elections?chamber_id=13500",100
"https://data.ipu.org /node/139/elections?chamber_id=13501",100
"https://data.ipu.org /node/140/elections?chamber_id=13509",100
"https://data.ipu.org /node/141/elections?chamber_id=13392",100
"https://data.ipu.org /node/142/elections?chamber_id=13513",100
"https://data.ipu.org /node/143/elections?chamber_id=13515",100
"https://data.ipu.org /node/144/elections?chamber_id=13518",100
"https://data.ipu.org /node/145/elections?chamber_id=13517",100
"https://data.ipu.org /node/146/elections?chamber_id=13520",100
"https://data.ipu.org /node/147/elections?chamber_id=13516",100
"https://data.ipu.org /node/148/elections?chamber_id=13521",100
"https://data.ipu.org /node/149/elections?chamber_id=13567",100
"https://data.ipu.org /node/150/elections?chamber_id=13522",100
"https://data.ipu.org /node/151/elections?chamber_id=13558",100
"https://data.ipu.org /node/152/elections?chamber_id=13523",100
"https://data.ipu.org /node/153/elections?chamber_id=13524",100
"https://data.ipu.org /node/154/elections?chamber_id=13525",100
"https://data.ipu.org /node/155/elections?chamber_id=13526",100
"https://data.ipu.org /node/156/elections?chamber_id=13527",100
"https://data.ipu.org /node/157/elections?chamber_id=13417",100
"https://data.ipu.org /node/158/elections?chamber_id=13573",100
"https://data.ipu.org /node/159/elections?chamber_id=13311",100
"https://data.ipu.org /node/160/elections?chamber_id=13580",100
"https://data.ipu.org /node/161/elections?chamber_id=13384",100
"https://data.ipu.org /node/162/elections?chamber_id=13531",100
"https://data.ipu.org /node/164/elections?chamber_id=13535",100
"https://data.ipu.org /node/166/elections?chamber_id=13532",100
"https://data.ipu.org /node/167/elections?chamber_id=13533",100
"https://data.ipu.org /node/168/elections?chamber_id=13498",100
"https://data.ipu.org /node/169/elections?chamber_id=13538",100
"https://data.ipu.org /node/170/elections?chamber_id=13541",100
"https://data.ipu.org /node/172/elections?chamber_id=13564",100
"https://data.ipu.org /node/173/elections?chamber_id=13542",100
"https://data.ipu.org /node/174/elections?chamber_id=13543",100
"https://data.ipu.org /node/175/elections?chamber_id=13544",100
"https://data.ipu.org /node/176/elections?chamber_id=13546",100
"https://data.ipu.org /node/177/elections?chamber_id=13548",100
"https://data.ipu.org /node/178/elections?chamber_id=13547",100
"https://data.ipu.org /node/179/elections?chamber_id=13549",100
"https://data.ipu.org /node/180/elections?chamber_id=13479",100
"https://data.ipu.org /node/181/elections?chamber_id=13550",100
"https://data.ipu.org /node/182/elections?chamber_id=13381",100
"https://data.ipu.org /node/183/elections?chamber_id=13511",100
"https://data.ipu.org /node/184/elections?chamber_id=13508",100
"https://data.ipu.org /node/185/elections?chamber_id=13387",100
"https://data.ipu.org /node/186/elections?chamber_id=13551",100
"https://data.ipu.org /node/187/elections?chamber_id=13480",100
"https://data.ipu.org /node/188/elections?chamber_id=13553",100
"https://data.ipu.org /node/190/elections?chamber_id=13555",100
"https://data.ipu.org /node/191/elections?chamber_id=13556",100
"https://data.ipu.org /node/192/elections?chamber_id=13559",100
"https://data.ipu.org /node/193/elections?chamber_id=13560",100
