country,chamber,party,seats,share,color
Canada,House of Commons,New Democratic,25,7.418397626,#F4A460
Canada,House of Commons,Conservative,117,34.71810089,#6495ED
Canada,House of Commons,Bloc Québécois,32,9.495548961,#87CEFA
Canada,House of Commons,Green,2,0.59347181,#99C955
Canada,House of Commons,Independent,3,0.890207715,#CCCCCC
Indonesia,House of Representatives,Indonesian Democratic Party of Struggle,128,22.26086957,#db332e
Indonesia,House of Representatives,Party of Functional Groups,85,14.7826087,#fdf851
Indonesia,House of Representatives,Great Indonesia Movement Party,78,13.56521739,#342B29
Indonesia,House of Representatives,Nasdem Party,59,10.26086957,#27408B
Indonesia,House of Representatives,National Awakening Party,58,10.08695652,#02754C
Indonesia,House of Representatives,Democratic Party,54,9.391304348,#2643A3
Indonesia,House of Representatives,Prosperous Justice Party,50,8.695652174,#FE5000
Indonesia,House of Representatives,National Mandate Party,44,7.652173913,#0054A3
Indonesia,House of Representatives,United Development Party,19,3.304347826,#00A100
